Date,Model name,Data scope,RAG,TP,FP,TN,FN,Precision,Recall,Accuracy,F1 Score,Execution time,GPU name
2025-04-25 14:26:38,TinyLlama/TinyLlama_v1.1,International,False,78,89,11,22,0.4671,0.7800,0.4450,0.5843,55.33,NVIDIA L4
2025-04-25 14:27:51,TinyLlama/TinyLlama_v1.1,International,True,72,87,13,28,0.4528,0.7200,0.4250,0.5560,69.84,NVIDIA L4
2025-04-25 14:28:48,TinyLlama/TinyLlama_v1.1,Switzerland,False,75,84,16,25,0.4717,0.7500,0.4550,0.5792,54.62,NVIDIA L4
2025-04-25 14:30:00,TinyLlama/TinyLlama_v1.1,Switzerland,True,67,81,19,33,0.4527,0.6700,0.4300,0.5403,69.47,NVIDIA L4
2025-04-25 14:30:58,TinyLlama/TinyLlama_v1.1,Switzerland N,False,82,81,19,18,0.5031,0.8200,0.5050,0.6236,55.11,NVIDIA L4
2025-04-25 14:32:04,TinyLlama/TinyLlama_v1.1,Switzerland Nebenwerte,True,74,82,18,26,0.4744,0.7400,0.4600,0.5781,63.08,NVIDIA L4
2025-04-25 14:36:53,google/gemma-3-4b-it,International,False,57,32,68,43,0.6404,0.5700,0.6250,0.6032,129.78,NVIDIA L4
2025-04-25 14:38:45,google/gemma-3-4b-it,International,True,80,23,77,20,0.7767,0.8000,0.7850,0.7882,107.00,NVIDIA L4
2025-04-25 14:40:52,google/gemma-3-4b-it,Switzerland,False,63,37,63,37,0.6300,0.6300,0.6300,0.6300,125.20,NVIDIA L4
2025-04-25 14:42:36,google/gemma-3-4b-it,Switzerland,True,91,35,65,9,0.7222,0.9100,0.7800,0.8053,100.64,NVIDIA L4
2025-04-25 14:44:45,google/gemma-3-4b-it,Switzerland Nebenwerte,False,49,49,51,51,0.5000,0.4900,0.5000,0.4949,126.08,NVIDIA L4
2025-04-25 14:46:22,google/gemma-3-4b-it,Switzerland Nebenwerte,True,66,41,59,34,0.6168,0.6600,0.6250,0.6377,94.40,NVIDIA L4
2025-04-25 14:50:50,microsoft/Phi-4-mini-instruct,International,False,12,7,93,88,0.6316,0.1200,0.5250,0.2017,91.38,NVIDIA L4
2025-04-25 14:51:52,microsoft/Phi-4-mini-instruct,International,True,73,9,91,27,0.8902,0.7300,0.8200,0.8022,58.01,NVIDIA L4
2025-04-25 14:53:26,microsoft/Phi-4-mini-instruct,Switzerland,False,5,1,99,95,0.8333,0.0500,0.5200,0.0943,91.11,NVIDIA L4
2025-04-25 14:54:28,microsoft/Phi-4-mini-instruct,Switzerland,True,73,4,96,27,0.9481,0.7300,0.8450,0.8249,59.13,NVIDIA L4
2025-04-25 14:56:03,microsoft/Phi-4-mini-instruct,Switzerland Nebenwerte,False,0,2,98,100,0.0000,0.0000,0.4900,0.0000,91.67,NVIDIA L4
2025-04-25 14:57:00,microsoft/Phi-4-mini-instruct,Switzerland Nebenwerte,True,29,2,98,71,0.9355,0.2900,0.6350,0.4427,54.88,NVIDIA L4
2025-04-25 15:04:14,HuggingFaceH4/zephyr-7b-beta,International,False,22,0,100,78,1.0000,0.2200,0.6100,0.3607,128.26,NVIDIA L4
2025-04-25 15:07:15,HuggingFaceH4/zephyr-7b-beta,International,True,62,0,100,38,1.0000,0.6200,0.8100,0.7654,176.48,NVIDIA L4
2025-04-25 15:09:25,HuggingFaceH4/zephyr-7b-beta,Switzerland,False,4,1,99,96,0.8000,0.0400,0.5150,0.0762,127.66,NVIDIA L4
2025-04-25 15:12:15,HuggingFaceH4/zephyr-7b-beta,Switzerland,True,67,1,99,33,0.9853,0.6700,0.8300,0.7976,167.74,NVIDIA L4
2025-04-25 15:14:25,HuggingFaceH4/zephyr-7b-beta,Switzerland Nebenwerte,False,0,0,100,100,0.0000,0.0000,0.5000,0.0000,127.42,NVIDIA L4
2025-04-25 15:16:54,HuggingFaceH4/zephyr-7b-beta,Switzerland Nebenwerte,True,18,1,99,82,0.9474,0.1800,0.5850,0.3025,145.96,NVIDIA L4
2025-04-25 15:27:19,mistralai/Mistral-7B-Instruct-v0.3,International,False,63,27,73,37,0.7000,0.6300,0.6800,0.6632,76.58,NVIDIA L4
2025-04-25 15:28:46,mistralai/Mistral-7B-Instruct-v0.3,International,True,80,17,83,20,0.8247,0.8000,0.8150,0.8122,82.49,NVIDIA L4
2025-04-25 15:29:59,mistralai/Mistral-7B-Instruct-v0.3,Switzerland,False,54,24,76,46,0.6923,0.5400,0.6500,0.6067,70.57,NVIDIA L4
2025-04-25 15:31:17,mistralai/Mistral-7B-Instruct-v0.3,Switzerland,True,84,20,80,16,0.8077,0.8400,0.8200,0.8235,75.99,NVIDIA L4
2025-04-25 15:32:31,mistralai/Mistral-7B-Instruct-v0.3,Switzerland Nebenwerte,False,40,35,65,60,0.5333,0.4000,0.5250,0.4571,70.74,NVIDIA L4
2025-04-25 15:33:39,mistralai/Mistral-7B-Instruct-v0.3,Switzerland Nebenwerte,True,43,24,76,57,0.6418,0.4300,0.5950,0.5150,65.90,NVIDIA L4
2025-04-28 09:29:52,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,International,False,0,0,100,100,0.0000,0.0000,0.5000,0.0000,2601.07,NVIDIA L4
2025-04-28 12:26:10,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,International,True,59,0,100,41,1.0000,0.5900,0.7950,0.7421,99.10,NVIDIA A100-SXM4-40GB
2025-04-28 12:29:31,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Switzerland,False,0,0,100,100,0.0000,0.0000,0.5000,0.0000,65.93,NVIDIA A100-SXM4-40GB
2025-04-28 12:31:13,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Switzerland,True,46,0,100,54,1.0000,0.4600,0.7300,0.6301,90.84,NVIDIA A100-SXM4-40GB
2025-04-28 12:32:51,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Switzerland Nebenwerte,False,0,0,100,100,0.0000,0.0000,0.5000,0.0000,67.18,NVIDIA A100-SXM4-40GB
2025-04-28 12:36:55,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Switzerland Nebenwerte,True,8,1,99,92,0.8889,0.0800,0.5350,0.1468,75.79,NVIDIA A100-SXM4-40GB
